experiment,model,imgsz,epochs,split,precision,recall,f1,map50,map50_95,latency_ms,fps,notes
baseline,yolov8n,640,100,val,0.9704,0.9690,0.9697,0.9757,0.8355,22.05,45.3,validation_candidate
augmentation,yolov8n,640,100,val,0.9696,0.9645,0.9670,0.9846,0.8197,21.23,47.1,validation_candidate
high_resolution,yolov8n,960,100,val,0.9791,0.9468,0.9627,0.9865,0.8327,26.56,37.6,validation_candidate
lr_schedule,yolov8n,640,100,val,0.9680,0.9738,0.9709,0.9806,0.8462,17.73,56.4,validation_candidate
model_size,yolov8s,640,100,val,0.9800,0.9651,0.9725,0.9900,0.8455,18.80,53.2,validation_candidate
lr_schedule,yolov8n,640,100,test,0.9764,0.9387,0.9572,0.9807,0.8452,12.52,79.9,winning_model_heldout_test
conf_sweep_conf0.10,yolov8n,640,100,val,0.9736,0.9695,0.9715,0.9693,0.8281,22.05,45.3,conf_threshold=0.10
conf_sweep_conf0.25,yolov8n,640,100,val,0.9739,0.9697,0.9718,0.9645,0.8259,22.05,45.3,conf_threshold=0.25
conf_sweep_conf0.35,yolov8n,640,100,val,0.9739,0.9697,0.9718,0.9597,0.8250,22.05,45.3,conf_threshold=0.35
conf_sweep_conf0.40,yolov8n,640,100,val,0.9739,0.9697,0.9718,0.9597,0.8250,22.05,45.3,conf_threshold=0.40
conf_sweep_conf0.50,yolov8n,640,100,val,0.9738,0.9684,0.9711,0.9597,0.8226,22.05,45.3,conf_threshold=0.50
conf_sweep_conf0.60,yolov8n,640,100,val,0.9763,0.9585,0.9673,0.9499,0.8143,22.05,45.3,conf_threshold=0.60
